Движения товаров;
Период: с 02/05/2023 по 02/05/2023;
Остаток на начало: 50;
Приход: 0;
Расход: 7;
Остаток на конец: 43;
;
Код;Наименование;Остаток на начало;Приход;Расход;Остаток на конец;
000001202;Заготовка PROXY (чип H2) кожаный брелок;5;0;1;4;
